id,title,contents,category
NEWS_00023,FTC Files First Lawsuit Against Spyware Concerns,The Federal Trade Commission formally announced yesterday its first assault against spyware - bits of computer code that surreptitiously install themselves on the computers of Internet users,4
NEWS_00024,Kentucky Fan Gets National Champs Tattoo. Let's Hope It Happens For Him. authors,That's some real confidence bro.,3
NEWS_00025,Be on TOP,//www.huffingtonpost.com/entry/be-on-top-amazon-best-sel_b_12508618.html short_description,1
NEWS_00026,"Doping case was flawed, report finds","MONTREAL A series of errors and misunderstandings led to the botched drug test that resulted in Tyler Hamilton, the American cyclist, retaining his gold medal from the Athens Olympics, the World Anti-Doping Agency has said in a report.",3
NEWS_00027,"Kmart-Sears merger about price, quality",Average customers know the same thing that ministers of high finance understand: It #39;s all about the price. Shoppers Thursday at the Billings Sears store were eager to find out what a proposed,0
NEWS_00028,Cate Blanchett Set To Star As Lucille Ball In New Biopic authors,We love this news almost as much as we love Lucy.,1
NEWS_00029,Israel Kills 3 Palestinians in Big Gaza Incursion (Reuters),"Reuters - Israeli forces killed three\Palestinians, including two teenagers, on Wednesday after\storming into the northern Gaza Strip for the third time in as\many months to quell Palestinian rocket fire into Israel.",5
NEWS_00030,Montgomerie Beats Woods in S. Korean Skins (AP),"AP - Colin Montgomerie held off Tiger Woods to win a one-day Skins event Sunday. Montgomerie finished with nine skins worth  #36;75,000 while Woods had five skins totaling  #36;51,000. South Korea's K.J. Choi also collected  #36;51,000. South Korea's Se Ri Pak, the only woman competing, missed several chances and ended with no skins.",3
NEWS_00031,Sony PSP Draws Crowds and Lines on First Day (Reuters),"Reuters - Game fans stood in lines through a chilly\Tokyo night to be among the first in the world to get their\hands on Sony Corp.'s PlayStation Portable, the consumer\electronics firm's first handheld game machine.",4
NEWS_00032,Sunday Show Hosts Hit Back On Trump Administration's Lies authors,Alternative facts are not facts theyu2019re falsehoods.,2
NEWS_00033,Memo To EPA Chief Pruitt,//www.huffingtonpost.com/entry/memo-to-epa-chief-pruitt-lets-end-subsidies-for-fossil_us_59ee9567e4b0b8a51417bcc6 short_description,2
NEWS_00034,The Folly of the Sole Superpower Writ Small authors,Think of this as a little imperial folly up -- and here's the backstory. In the years after invading Iraq and disbanding Saddam Hussein's military the U.S. sunk about $25 billion into standing up a new Iraqi army.,2
NEWS_00035,Is E-Voting Secure?,(CBS) Nearly one third of voters (as many as 45 million people) are expected to cast their ballots electronically in next week #39;s presidential election.,4
NEWS_00036,Agencies Postpone Issuing New Rules Until After Election,Federal agencies have delayed a range of proposed regulations from food safety to corporate governance until after Election Day.,2
NEWS_00037,Deep Impact Space Probe Aims to Slam Into Comet (Reuters),"Reuters - Astronomers plan to slam an\armchair-sized ""impactor"" into comet Tempel 1 to see what's\inside -- and possibly help future scientists determine how to\keep such space rocks from colliding with Earth.",4
NEWS_00038,Longhorns Rip Cowboys,"Cedric Benson scores five touchdowns on Saturday night, highlighting a 49-point rally that sends No. 6 Texas to a stunning 56-35 win over No. 19 Oklahoma State.",3
NEWS_00039,Ricky Williams ordered to repay Dolphins,"Former Miami Dolphins running back Ricky Williams was ordered Friday to repay the team more than \$8.6 million. The money was for incentives and a signing bonus, an arbitrator said.",3
NEWS_00040,"Out for V-I-C-T-O-R-Y, but Missing Tiles",Missing a key piece to your favorite board game? The Web's abundance of board game sites might help.,3
NEWS_00041,Photos from MacExpo 2004,"With over 100 exhibitors  #151; including Apple, Adobe, Bose, Epson, HP, Microsoft, Quark and Sony  #151; and more than 20,000 visitors expected during the three-day event  #151; this year #146;s London MacExpo is shaping up as the biggest and best ever staged. Nov 18",4
NEWS_00042,Thomas out of Six Nations,"Wales captain Gareth Thomas has been ruled out of the rest of the Six Nations with a broken thumb.  The full-back will have surgery on Monday after fracturing his thumb in the 24-18 win over France on Saturday. But Welsh legend Phil Bennett insisted Wales can cope without Thomas as they chase a first Grand Slam in 27 years. Bennett told BBC Sport: ""Such is the spirit in the camp, they'll put Kevin Morgan at 15, Rhys Williams at wing and just carry on."" Thomas will miss the match against Scotland on 13 March, and what promises to be a huge encounter against the Irish six days later. Bennett added: ""It's a setback. He's a great captain, he leads from the front and the boys love him."" Thomas was replaced at half-time by Williams as his side turned around a 15-6 deficit in Paris.  ""With Gareth missing I would think Michael Owen will be our captain,"" said Wales coach Mike Ruddock. ""He did a great job in the second half in France. He has been vice-captain all along throughout the championship."" Wales travel to Edinburgh to take on Scotland in a fortnight and then host Ireland in Cardiff in the final round of matches in what could be the Grand Slam and championship decider. Bennett, an inspirational fly-half for Llanelli and Wales in the 1970s, insisted the national team were entering a new golden period. ""It was a great game and a magnificent result for Wales,"" Bennett told BBC Radio Five Live's Sportsweek programme.  ""The way this young team are blending, the glory days are on their way back. ""We couldn't get possession early on and France dominated and scored two tries. ""Had they been ruthless, Wales could have gone into the interval 30 points down. But they didn't take their chances. ""Wales defended fairly well but you cannot give that sort of quality ball to good sides. ""The All Blacks would have been ruthless and buried us in the first half. But the character we showed in the second half was quite outstanding.""",3
NEWS_00043,Tavarez Breaks Hand After Leaving Game 4 (AP),"AP - St. Louis righty Julian Tavarez broke his left hand during a dugout tantrum in Game 4 of the NL championship series, and it was uncertain Monday when the reliever would pitch again.",3
NEWS_00044,Golf: Cink in command in winning NEC Invitational,"AKRON, Ohio - Six days after US captain Hal Sutton added him to the Ryder Cup team, Steward Cink completed the best performance of his career by turning the final round of the NEC Invitational into a showcase of poise and putting.",3
NEWS_00045,The Trouble with Broadcasting in a Social World authors,Today as a marketer you're competing for customers' hearts and minds in the context of their newsfeeds where they're getting the information that they care most about -- friend's messages and topics they've chosen to follow.,2
NEWS_00046,Official: Cuper Signs With Mallorca,Hector Cuper is Mallorcas coach for the second time in his career after that he signed a three year deal with the Balearic club in Barcelona today.,3
NEWS_00047,Bush author says White House applying pressure over book (AFP),AFP - Writer Kitty Kelley has accused the White House of putting pressure on her and the US media over the new biography on the family of President George W. Bush,2
NEWS_00048,Stove burns hot in Seattle,"The Mariners, who as a collective organization said to anyone who would listen that they wouldn #39;t stand for another 99-loss season or anything resembling it, have put their money where their mouth is.",0
NEWS_00049,"Bribery Considered, Halliburton Notes Suggest",An internal Halliburton Co. investigation has uncovered handwritten notes suggesting that former employees considered offering bribes to Nigerian officials a decade ago to secure work in a \$5 billion project to build a natural gas liquefaction plant.,0
NEWS_00050,UN Predicts Boom In Robot Labor,"The use of robots around the home to mow lawns, vacuum floors and manage other chores is set to surge sevenfold by 2007 as more consumers snap up smart machines, the United Nations said.",4
NEWS_00051,Oil Falls Below \$49 on Nigeria Cease-Fire,LONDON (Reuters) - Oil prices dropped from record highs  above \$50 a barrel on Wednesday as the U.S. government reported  a surprise increase in crude stocks and rebels in Nigeria's  oil-rich delta region agreed a cease-fire.,0
NEWS_00052,Amazon's Next Kindle May Have Better Battery Life authors,Amazon says the new e-reader is coming soon.,4
NEWS_00053,These Are The People Putting Up Money To Stop Donald Trump authors,eBay founder Pierre Omidyar gave $100k. Oh and a Cards Against Humanity guy chipped in.,2
NEWS_00054,Trump Says U.S. 'Not Going To Look Foolish As Long As I'm Here' authors,The president stepped away from a Camp David strategy session to bash the Russia investigation and address his mental health.,2
NEWS_00055,Florida Shooting Survivors Confront Lawmakers For Inaction On Gun Violence authors,u201cA tragedy like this can never happen again and ... we will never let it happen againu201d a Marjory Stoneman Douglas High School senior said.,2
NEWS_00056,Sadr #39;s aide denies entering of Iraqi police into Najaf shrine,"BAGHDAD, Aug. 20 (Xinhuanet) -- A top aide to Shiite cleric Moqtada al-Sadr denied a government announcement that Iraqi police entered Imam Ali shrine in Najaf on Friday, Al-Jazeera TV channel reported.",5
NEWS_00057,Former Nazi Guard Loses Canadian Court Ruling (Reuters),Reuters - Canadian immigration\officials won a victory on Tuesday in their bid to revoke the\citizenship of a former Nazi SS prison guard convicted of war\crimes in Italy.,5
NEWS_00058,Democrats Plan Big Anti-Corruption Theme For Midterms authors,It's a revival of a successful tactic Dems used in 2006 when they took control of both chambers of Congress.,2
NEWS_00059,Afghanistan Death Toll in 2004 Up to 957,"KANDAHAR, Afghanistan - The killing in Afghanistan spirals onward, undermining U.S. claims of success in pacifying the country with less than a week to go before an historic experiment with democracy - direct presidential elections...",5
NEWS_00060,"Portugal PM, Cabinet Submit Resignations","LISBON (Reuters) - Portugal's prime minister said on  Saturday he and his cabinet had submitted their resignations, a  move that came a day after a snap election was called.",2
NEWS_00061,Typhoon-Like Gusts Hit Japan; 13 Injured,"TOKYO - Gale-force winds pounded eastern Japan early Sunday, knocking out power to homes, stirring coastal waves that caused a tanker ship to run aground and injuring at least 13 people.",5
NEWS_00062,John Waters' Women at the Film Society of Lincoln Center authors,No one missed the irony of a John Waters retrospective at The Walter Reade Theater across Lincoln Center's plaza from Fashion Week.,1
NEWS_00063,Family appeals for release of UK hostage,"The family of Kenneth Bigley, the British hostage being held in Iraq, has made a direct appeal for his release to the militants who abducted the 62-year old-engineer.",5
NEWS_00064,Jon Voight Is 'Concerned' About Daughter Angelina Jolie's Divorce From Brad Pitt authors,It must be something serious.,1
NEWS_00065,Roberto Unger Obama's Former Harvard Law School Professor Says The President 'Must Be Defeated' authors,Give the bond markets what they want bail out the reckless so long as they are also rich use fiscal and monetary stimulus,2
NEWS_00066,Hope of medical progress carries vote,A committee of renowned scientists said the result was a vote of confidence in medical research and a positive sign for Switzerland as a centre for science and research.,0
NEWS_00067,Fan Picks Nose Behind TNT Broadcast Crew Winks At Camera (VIDEO) authors,By Joe Lucia Awful Announcing During Thursday's Trail Blazers-Knicks game on TNT this fan sitting behind TNT's broadcast,1
NEWS_00068,Satire Will Not Save Us,//www.huffingtonpost.com/entry/tal-fortgang-satire-will-not-save-us_b_5283369.html short_description,2
NEWS_00069,"Fallujah situation  #39;disastrous #39;, charity says","Civilians trapped in Fallujah face a humanitarian disaster unless Iraqi and American authorities allow food, water and medicine into the besieged city, aid agencies warned last night.",5
NEWS_00070,"ABN Amro Profit Rises, Buoyed by Sale of Asia Stake (Update4)","ABN Amro Holding NV, the largest Dutch bank, said profit rose 26 percent in the third quarter, buoyed by a gain from selling its stake in Bank of Asia Pcl.",0
NEWS_00071,Germany Extends Afghan Mission,The German Parliament on Thursday overwhelming approved a one-year extension of the Bundeswehr #39;s Afghanistan mandate. The decision comes a day after a grenade attack on a German camp in Kunduz injured five.,5
NEWS_00072,Up to the Challenge,The Redskins contend that last week's debacle in the secondary against the Rams isn't a true gauge of life after Champ Bailey.,1
NEWS_00073,"Delphi, XM Unveil Handheld Satellite Radio Receiver (washingtonpost.com)","washingtonpost.com - XM Satellite Radio and radio manufacturer Delphi yesterday introduced the Delphi XM MyFi, a portable, handheld satellite radio receiver the companies hope will lure more consumers to a medium currently limited to car and home units.",4
NEWS_00074,2 Russian Officials Charged In Massive Yahoo Hack authors,They worked with two others to access the content of 6500 accounts the Justice Department said.,2
NEWS_00075,Report Expected to Blame 24 in Iraq Abuse,"WASHINGTON - Two dozen people will be blamed by an Army investigation into the abuse of inmates at Iraq's Abu Ghraib prison, says a senior defense official.    The official, who spoke Wednesday on condition of anonymity, provided no details of the report...",2
NEWS_00076,WATCH,//www.huffingtonpost.com/entry/perrish-cox-flop-49ers-saints_n_6129774.html short_description,1
NEWS_00077,Poland to Cut One-Third of Its Troops in Iraq,Poland #39;s defense minister Jerzy Szmajdzinski has announced plans to cut his country #39;s forces in Iraq by almost one third next year.,5
NEWS_00078,Burundi Agrees to Move Tutsi Refugees to Safety,"Following last week #39;s massacre of at least 160 Congolese Tutsis at a refugee camp near Burundi #39;s border with the Democratic Republic of Congo, the Burundian government is speeding up efforts to help the United Nations set up more secure camps in the",5
NEWS_00079,Suit by Cities Says Microsoft Overcharged,"icrosoft, which has agreed to pay \$1.8 billion to settle consumer antitrust suits, has been sued by California munciplaties, including Los Angeles and San Francisco, over claims that the company overcharged them for its Windows software.",0
NEWS_00080,Robert Redford Sidesteps Oscars Controversy But Says Diversity Is Important authors,Diversity comes out of the word independence.,1
NEWS_00081,The Part Of Cleveland's Economic Story That Trump Doesn't Tell authors,It's not just about trade and vanishing factory jobs.,0
NEWS_00082,Australia investigating if Iraq body could be rumored hostage (AFP),AFP - Australia was investigating whether a foreigner found dead in central Iraq could be one of two Australians allegedly kidnapped in the country earlier this week.,5
NEWS_00083,IT Product Guide goes beta,"InfoWorld and Open Source Technology Group (OSTG), the parent company of such popular sites as Slashdot and SourceForge, are pleased to announce the public beta of a new resource for IT buyers.",4
NEWS_00084,The Man Who Grasped the Heavens' Gravitas,The New York Public Library focuses on Isaac Newton and the influence of his ideas in its thoughtful and engaging exhibition.,1
NEWS_00085,Stocks to Open Higher on Growth Outlook,NEW YORK - U.S. stocks are seen sharply higher at the open Monday as investors remain upbeat about the outlook for economic and corporate profit growth...,0
NEWS_00086,Colombian militia leader dead,"Bogota, Colombia - The leader of a paramilitary faction involved in peace talks with the government may be among five paramilitary members killed in an ambush on Monday, authorities said.",5
NEWS_00087,New Iraq mission for Black Watch,Troops from the Black Watch regiment have begun a major operation in central Iraq.,5
NEWS_00088,Expos Skipper Robinson OKs One-Year Deal (AP),"AP - Frank Robinson has agreed to a one-year contract to return as manager of the Expos, although whether he actually manages the team next year will hinge on the pace of the team's sale and the whim of the new owners.",3
NEWS_00089,Presidential Debates and Middle-Class Economics authors,While a lack of middle-class income growth can create headwinds for any economy in the short term the longer-term risks of political instability and civil unrest can become much greater.,2
NEWS_00090,Three Palestinians killed in Rafah; Palestinians blast one Israeli &lt;b&gt;...&lt;/b&gt;,Three Palestinians were killed and other three injured one of them in a critical health condition by the fire of the Israeli occupation forces in al-Salam quarters to the south of Rafah near the border strip with Egypt.,5
NEWS_00091,Donald Trump And The Heritage Foundation,//www.huffingtonpost.com/entry/donald-trump-heritage-foundation_us_57aa2d40e4b06e52746dfea9 short_description,2
NEWS_00092,Valiant &lt;em&gt;Reg&lt;/em&gt; readers save internet,&lt;strong&gt;Letters&lt;/strong&gt; Reports of demise premature,0
NEWS_00093,Oracle wins PeopleSoft takeover case,The long-running battle in US courts between Oracle and the Department of Justice took a milestone step today as a US District Court Judge in San Francisco ruled that the takeover bid by Oracle for competitor PeopleSoft could continue.,0
NEWS_00094,Jordan: Ford decision was knife through the heart.,"The Jordan team has vowed to bounce back from its latest crisis, despite likening Ford #39;s recent decision to cease all of its Formula One activities to a .",0
NEWS_00095,"Turkish PM eyes  #39;positive #39; EU move, but sticking points remain","BRUSSELS, Dec 16 (AFP) - Turkish Prime Minister Recep Tayyip Erdogan welcomed Thursday the EU #39;s  quot;positive quot; approach to its bid to start membership talks, but said sticking points remain ahead of a crunch summit.",5
NEWS_00096,Olympics Wrap: China Grabs 1st Men's Gold in Track,"ATHENS (Reuters) - China grabbed its first-ever men's  Olympic gold in track and field on Friday, but it was a night  of misery for Americans, who saw any chance of a fourth  consecutive gold in basketball crushed.",3
NEWS_00097,Battle of the big games,"""Halo 2"" for the Xbox shoots first, but for PC gamers, ""Half-Life 2"" is locked and loaded.",3
NEWS_00098,"Producer Prices Up 0.1 Pct, Energy Drops (Reuters)","Reuters - U.S. producer prices edged up just\0.1 percent in September, held back by a big energy-price drop,\but the cost of non-energy items picked up steam, a government\report showed on Friday.",0
NEWS_00099,"Rigel, Merck Form Development Partnership","NEW YORK (Reuters) - Biotechnology company Rigel  Pharmaceuticals Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=RIGL.O target=/stocks/quickinfo/fullquote""&gt;RIGL.O&lt;/A&gt; has entered into a collaboration  pact with drugmaker Merck   Co. Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MRK.N target=/stocks/quickinfo/fullquote""&gt;MRK.N&lt;/A&gt; to find treatments  for cancer and potentially other diseases, Rigel said on  Monday.",0
NEWS_00100,"GM, DaimlerChrysler to develop hybrid engines",General Motors Corp. and DaimlerChrysler AG are teaming up to develop fuel-saving hybrid engines in hopes of cashing in on an expanding market already dominated by hybrid leaders Toyota Motor Corp. and Honda Motor Co.,4
NEWS_00101,Trump Meets With Physicist Who Says 'Benefits' Of Climate Change 'Outweigh Any Harm' authors,William Happer also compared the demonization of carbon dioxideu201d to the Holocaust.,2
NEWS_00102,A Lot Of Managers Want to Raise The Minimum Wage Too authors,A new survey finds that the people who hire minimum-wage workers support giving them a raise.,0
NEWS_00103,Nortel attempts to calm fears of possible stock delisting,Nortel Networks Ltd. said both the New York Stock Exchange and the Toronto Stock Exchange are not considering delisting the company as yet.,4
NEWS_00104,Millions Join to Fight Bird Flu in Thailand,Millions of volunteers led by emergency teams fanned out across Thailand today in a new drive to fight bird flu after the prime minister gave officials 30 days to eradicate the epidemic.,5
NEWS_00105,Prices climb after bombing spree,"LONDON: World oil prices rebounded slightly Thursday in the wake of multiple pipeline attacks in major producer Iraq, traders said.",5
NEWS_00106,Zac Efron Can't Help But Make Fun Of His Epic 'Baywatch' Fall authors,The photo is priceless.,1
NEWS_00107,Israeli officials blame al-Qaida for blasts at Sinai tourist sites,"Rescuers dug through the rubble of a luxury hotel on Egypt #39;s Sinai Peninsula yesterday as the confirmed death stood at 24, with about 100 people",5
NEWS_00108,Flint-Like Lead Hazards May Be Lurking In Private Water Wells authors,Across the country millions of Americans served by private wells drink bathe and cook with water containing potentially dangerous amounts of lead.,2
NEWS_00109,Storm may have been a tornado,VERMONTVILLE -- A Wednesday evening storm ripped part of the roof off of an Eaton County high school and dropped it on the football field where the season #39;s first home game is to be played Friday.,5
NEWS_00110,Lan switch sales looking good for 2004,"Despite a decline of two per cent in the second quarter of 2004, the global market for local area network (Lan) switches remains up 23 per cent year over year, the latest market research from IDC has found.",4
NEWS_00111,Oil rallies to new record high,"Crude oil futures rallied late Friday to a new record high of \$54.90, a day after a decline in the US inventory of heating oil roiled a market already on edge over tight supplies, high demand and unrest among key producers.",0
NEWS_00112,Defrocked Irish priest gets one-year suspended sentence,: A misdemeanor court convicted a defrocked Irish priest for tackling the marathon leader during the Olympic race and on Monday gave him a one-year suspended sentence.,2
NEWS_00113,Coal Companies Paid Lobbyists Millions Before Going Bankrupt authors,And then they cut employee benefits.,0
NEWS_00114,Prince Harry set for army career,"Prince Harry will join the army in early 2005 after passing his Sandhurst entrance exams, says Clarence House.",3
NEWS_00115,Mauresmo pulls out of Zurich Challenge,World number two Amelie Mauresmo has pulled out of the Zurich Challenge tennis tournament after failing to recover from an ongoing thigh injury.,3
NEWS_00116,We #39;ll never let Gerrard leave,FORGET any transfer bids for Steven Gerrard - that #39;s the cry from Liverpool chief executive Rick Parry. The midfielder fuelled speculation that a move was imminent when he stated earlier this week that the club must start winning things to keep him.,3
NEWS_00117,GOP Tax Bill Mostly Benefits The Wealthy Tax Policy Center Finds authors,The draft legislation is less plutocratic than an earlier outline for whatever that's worth.,2
NEWS_00118,LeBron Attempts To Pull An Iverson On Draymond Green Fails authors,Somehow Tyronn Lue ends up on the losing end of this move again.,3
NEWS_00119,"Microsoft, Cisco: Seeing Eye-to-Eye on Network Security",Tech giants Microsoft and Cisco have agreed to develop and promote interoperability between their respective network access technologies.,4
NEWS_00120,"BA cancels 1,000 Heathrow flights","British Airways today announced the cancellation of almost 1,000 flights over the next three months in an effort to ease congestion at Heathrow, one of the world #39;s busiest airports.",0
NEWS_00121,Dutrow #39;s gamble pays off fabulously,"Despite the fact Love of Money had never raced around two turns or in a stakes race before, trainer Richard Dutrow Jr. thought enough of him entering Monday #39;s \$750,000 Pennsylvania",3
NEWS_00122,MLB Playoffs: Yankees Take 2-0 Lead in Series Over Red Sox,"In Major League Baseball playoff action, the New York Yankees beat the Boston Red Sox 3-1 Wednesday night to take a two games to none lead in the best of seven American League Championship series.",3
NEWS_00123,GPS Technology Drives Global Treasure Hunt,"The key to hidden treasure lies in your handheld GPS unit. GPS-based ""geocaching"" is a high-tech sport being played by thousands of people across the globe.",4
NEWS_00124,Tuesday Morning Lowers 2004 Guidance,Home accessories and gift retailer Tuesday Morning Corp. on Monday lowered its 2004 earnings guidance and forecast fourth-quarter results below Wall Street expectations on lower-than-expected seasonal sales.,0
NEWS_00125,What Apple's U2 Stunt Really Says About the Future of Music authors,The devaluation of music has also the devalued the listener. Maybe the problem with music isn't technology. Maybe it's us. Could it be that the music industry is sinking and fewer people are buying music -- not only because people don't want to pay for it but because listening to music is now officially a lost art?,1
NEWS_00126,Ivanka Trump Reportedly Won China Trademarks The Day She Dined With Xi Jinping authors,Hm...,2
NEWS_00127,"Proteas thwart India spin attack, are at 459 for 7:","Sports India, Cricket: Kanpur, Nov 21 : Andrew Hall #39;s career best 163 enabled South Africa to remain in a commanding position at the end of Day 2 of the first Test match against India held in Kanpur.",3
NEWS_00128,The Architect Behind Kmart #39;s Surprising Takeover of Sears,"About 10 days ago, Edward S. Lampert placed a call to his newest hire, Aylwin B. Lewis, whom he had installed as the chief executive of Kmart only a week earlier.",0
NEWS_00129,Sheffield United target keen to stay at Anfield,Neil Mellor is prepared to play in the reserves in order to remain a Liverpool player despite interest from Sheffield United Football Club.,3
NEWS_00130,Latest Figures Reveal Uptick in Refinancing Activity authors,Rising mortgage rates may have thrown some cold water on refinancing activity but they have not frozen it completely. Two statistics released this week show signs of hope for refinancing.,0
NEWS_00131,"Small Business, Ill-Defined","You may not have heard my name mentioned, but I was a hot item of discussion during the Bush-Kerry debates. How can that be, given that the words  quot;Allan Sloan quot; passed the lips of neither Kerry nor Bush?",0
NEWS_00132,Illinois Governor Wants Ban on Graphic Video Games,"Illinois Gov. Rod Blagojevich on Thursday proposed the state ban the sale and rental of violent and sexually explicit video games for children under 18, a restriction that has failed so far elsewhere in the country.",2
NEWS_00133,"Give me back my rights, Milosevic tells appeals court (AFP)","AFP - Slobodan Milosevic called on a UN appeals court to overturn a decision order imposing lawyers on the former Yugoslav president in his war crimes trial, a move supported by his reluctant defence team.",2
NEWS_00134,Schumacher wins Japanese Grand Prix:,"Sports India: Tokyo, Oct 10 : Michael Schumacher on his Ferrari breezed to a sixth victory of the Japanese Grand Prix in Suzuka Sunday.",3
NEWS_00135,Bill Bratton Resigning As NYPD Commissioner authors,Bratton was appointed by Mayor Bill de Blasio in 2014.,2
NEWS_00136,IBM to use AMD's dual-core Opteron,Upgrade to high-performance server will include AMD's dual-core chip.,4
NEWS_00137,"Nawaz, Benazir agree on signing code of ethics","ISLAMABAD: PML-N leader Mian Nawaz Sharif has presented a proposal to PPP-P chairperson, Benazir Bhutto for signing a code of ethics by both the parties for the sake of beginning of new democratic era in the country and the latter has okayed the proposal.",2
NEWS_00138,The Beaune International Thriller Festival,//www.huffingtonpost.com/entry/the-beaune-international_us_5bb45630e4b066f8d2584cd0 short_description,1
NEWS_00139,"Different routes, same result as teams gird for title game",It no longer matters that Montana #39;s drive to the NCAA Division I-AA football championship game has featured six straight homefield victories - all,3
NEWS_00140,"Durable Goods, Housing Data Trip Stocks",NEW YORK (Reuters) - U.S. stocks were slightly lower on  Wednesday after government reports for July on durable goods  orders and new home sales cast some doubt on the strength of  the economy.,0
NEWS_00141,US urges Israel to help Palestinian vote,US Secretary of State Colin Powell has launched a new Middle East peace drive by saying he will press both Israeli and Palestinian leaders for steps to help Palestinians elect a successor to Yasser Arafat.,5
NEWS_00142,Athletes Take a Stand for Mike Brown authors,These critiques of athletes are not new. They have been articulated for years in barbershops bars social media various articles and blogs by the everyday fan to the most celebrated scholars. But many still are misguided and inaccurate.,3
NEWS_00143,E-Card Holiday Virus Packs Ugly Punch,"A new virus strain masquerading as electronic Christmas cards is accounting for one in every 10 e-mails hitting in-boxes, security experts warned Wednesday.",4
NEWS_00144,Two Words from Bill Gates: Computer Science,"It wasn #39;t  quot;Plastics quot; as Dustin Hoffman was advised in the movie The Graduate, but computers that Bill Gates told a college audience would be the ticket to a good career in the near future.",4
NEWS_00145,Texas Officials Really Really Want You To Know Sandra Bland Had Marijuana In Her System authors,But that really really shouldn't matter.,2
NEWS_00146,Bigley granted Irish passport,The Irish government has given Kenneth Bigley - kidnapped in Iraq - an Irish passport in a bid to stress his non-British roots. It was issued following appeals from his family and his dual citizenship means,5
